Rank,Name,Japanese_name,Type,Episodes,Studio,Release_season,Genres,Score
1,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc, Kimetsu no Yaiba: Yuukaku-hen,TV   ,,ufotable,Fall ,"Action, Adventure, Fantasy, Shounen, Demons, Historical, Martial Arts, Orphans, Siblings, Swordplay, Based on a Manga, Explicit Violence",4.6
2,Fruits Basket the Final Season, Fruits Basket the Final,TV   ,13,TMS Entertainment,Spring,"Drama, Fantasy, Romance, Shoujo, Animal Transformation, Contemporary Fantasy, Curse, Dysfunctional Families, Mental Illness, Orphans, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Suicide,, Violence,, Domestic Abuse",4.6
3,Mo Dao Zu Shi 3, The Founder of Diabolism 3,Web  ,12,B.C MAY PICTURES,,"Fantasy, Ancient China, Chinese Animation, Cultivation, Xianxia, Based on a Web Novel",4.58
4,Fullmetal Alchemist: Brotherhood, Hagane no Renkinjutsushi: Full Metal Alchemist,TV   ,64,Bones,Spring,"Action, Adventure, Drama, Fantasy, Mystery, Shounen, Conspiracy, Death of a Loved One, Military, Siblings, Based on a Manga, Animal Abuse,, Mature Themes,, Violence,, Domestic Abuse",4.58
5,Attack on Titan 3rd Season: Part II, Shingeki no Kyojin Season 3: Part II,TV   ,10,WIT Studio,Spring,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Isolated Society, Military, Outside World, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence",4.57
6,Jujutsu Kaisen,,TV   ,24,MAPPA,Fall ,"Action, Horror, Shounen, Curse, Exorcists, Monsters, School Life, Supernatural, Based on a Manga, Explicit Violence",4.56
7,Attack on Titan The Final Season: Part II, Shingeki no Kyojin The Final Season: Part II,TV   ,,MAPPA,Winter,"Action, Drama, Fantasy, Horror, Shounen, Dark Fantasy, Military, War, Based on a Manga",4.56
8,Attack on Titan The Final Season, Shingeki no Kyojin The Final Season,TV   ,16,MAPPA,Winter,"Action, Drama, Fantasy, Horror, Shounen, Dark Fantasy, Military, War, Based on a Manga, Explicit Violence,, Mature Themes,, Physical Abuse,, Suicide",4.55
9,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train, Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,,ufotable,,"Action, Drama, Fantasy, Shounen, Demons, Historical, Martial Arts, Orphans, Siblings, Swordplay, Trains, Based on a Manga, Mature Themes,, Suicide,, Violence",4.54
10,Haikyuu!! Karasuno High School vs Shiratorizawa Academy, Haikyuu!! Karasuno Koukou vs Shiratorizawa Gakuen Koukou,TV   ,10,Production I.G,Fall ,"Shounen, Sports, Animeism, School Club, School Life, Tournaments, Volleyball, Based on a Manga",4.53
11,your name., Kimi no Na wa.,Movie,,CoMix Wave Films,,"Drama, Romance, Body Swapping, Gender Bender, Opposites Attract, School Life, Supernatural, Original Work",4.51
12,Haikyuu!! Second Season,,TV   ,25,Production I.G,Fall ,"Shounen, Sports, School Club, School Life, Tournaments, Volleyball, Based on a Manga",4.51
13,Demon Slayer: Kimetsu no Yaiba, Kimetsu no Yaiba,TV   ,26,ufotable,Spring,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Death of a Loved One, Demons, Historical, Martial Arts, Orphans, Siblings, Swordplay, Based on a Manga, Violence",4.51
14,Hunter x Hunter (2011),,TV   ,148,MADHOUSE,Fall ,"Action, Adventure, Drama, Fantasy, Shounen, Monsters, Superpowers, Based on a Manga, Violence",4.51
15,A Silent Voice, Koe no Katachi,Movie,,Kyoto Animation,,"Drama, Shounen, Disability, Melancholy, Mental Illness, School Life, Based on a Manga, Bullying,, Mature Themes,, Suicide",4.51
16,Violet Evergarden Movie,,Movie,,Kyoto Animation,,"Drama, Melancholy, War, Based on a Light Novel, Violence",4.5
17,Haikyuu!! To the Top: Part II,,TV   ,12,Production I.G,Fall ,"Shounen, Sports, Animeism, School Club, Tournaments, Volleyball, Based on a Manga",4.5
18,Heaven Official's Blessing Special, Tian Guan Ci Fu Special,Web  ,1,Haoliners Animation League,,"BL, Romance, Shounen-ai, Afterlife, Ancient China, Chinese Animation, Demon King, Ghosts, Gods, Interspecies Relationship, Non-Human Protagonists, Opposites Attract, Royalty, Supernatural, Xianxia, Based on a Web Novel",4.5
19,That Time I Got Reincarnated as a Slime Season 2, Tensei Shitara Slime Datta Ken Season 2,TV   ,12,8-Bit,Winter,"Action, Adventure, Fantasy, Shounen, Cheats, Demons, Isekai, Kingdom Building, Magic, Management, Modern Knowledge, Monsters, Person in a Strange World, Political, Reincarnation, RPG, Slimes, Based on a Manga",4.48
20,Given,,TV   ,11,Lerche,Summer,"BL, Drama, Romance, Shounen-ai, Death of a Loved One, Music, noitaminA, Based on a Manga, Mature Themes,, Suicide",4.48
21,Code Geass: Lelouch of the Rebellion R2, Code Geass: Hangyaku no Lelouch R2,TV   ,25,Sunrise,Spring,"Mecha, Sci Fi, Conspiracy, Mind Games, Overpowered Main Characters, Political, Psychological, Real Robot, Rebellions, Rivalries, Royalty, Secret Identity, Superpowers, Terrorism, Original Work",4.47
22,Mo Dao Zu Shi 2, The Founder of Diabolism 2,Web  ,8,B.C MAY PICTURES,,"Action, Fantasy, Mystery, Ancient China, Chinese Animation, Cultivation, Historical, Martial Arts, Overpowered Main Characters, Supernatural, Swordplay, War, Xianxia, Zombies, Based on a Web Novel, Violence",4.46
23,Gintama: The Very Final, Gintama: The Final,Movie,,BN Pictures,,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Feudal Japan, Gag, Parody, Samurai, Swordplay, Based on a Manga, Violence",4.46
24,Link Click, Shiguang Dailiren,Web  ,11,Studio LAN,,"Drama, Fantasy, Chinese Animation, Contemporary Fantasy, Superpowers, Time Travel, Urban Fantasy, Original Work, Violence",4.46
25,Mob Psycho 100 II,,TV   ,13,Bones,Winter,"Action, Comedy, Exorcists, Psychic Powers, Psychological, School Life, Supernatural, Superpowers, Based on a Manga, Violence",4.46
26,Haikyuu!! To the Top,,TV   ,13,Production I.G,Winter,"Shounen, Sports, Animeism, School Club, Tournaments, Volleyball, Based on a Manga",4.46
27,Fruits Basket 2nd Season,,TV   ,25,8 Pan,Spring,"Comedy, Drama, Fantasy, Romance, Shoujo, Animal Transformation, Contemporary Fantasy, Curse, Dysfunctional Families, Love Triangle, Mental Illness, Orphans, Based on a Manga, Bullying,, Emotional Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse",4.45
28,The Promised Neverland, Yakusoku no Neverland,TV   ,12,CloverWorks,Winter,"Fantasy, Horror, Mystery, Sci Fi, Shounen, Dark Fantasy, Isolated Society, Mind Games, noitaminA, Orphans, Outside World, Psychological, Thriller, Based on a Manga, Mature Themes,, Domestic Abuse,, Self-Harm",4.45
29,Spirited Away, Sen to Chihiro no Kamikakushi,Movie,,Studio Ghibli,,"Adventure, Fantasy, Curse, Family Friendly, Japanese Mythology, Magic, Person in a Strange World, Youkai, Original Work",4.45
30,That Time I Got Reincarnated as a Slime Season 2: Part II, Tensei Shitara Slime Datta Ken Season 2: Part II,TV   ,12,8-Bit,Summer,"Action, Adventure, Fantasy, Shounen, Cheats, Demons, Isekai, Kingdom Building, Magic, Management, Modern Knowledge, Monsters, Person in a Strange World, Political, Reincarnation, RPG, Slimes, Based on a Manga, Physical Abuse",4.45
31,Heaven Official's Blessing, Tian Guan Ci Fu,Web  ,11,Haoliners Animation League,,"Action, BL, Comedy, Drama, Romance, Shounen-ai, Afterlife, Ancient China, Chinese Animation, Demon King, Demons, Ghosts, Gods, Heaven, Historical, Interspecies Relationship, Non-Human Protagonists, Opposites Attract, Religion, Royalty, Supernatural, Xianxia, Based on a Web Novel, Bullying,, Violence",4.45
32,Ranking of Kings, Ousama Ranking,TV   ,,WIT Studio,Fall ,"Action, Adventure, Fantasy, Coming of Age, Disability, Royalty, Based on a Manga, Violence",4.45
33,Mushoku Tensei: Jobless Reincarnation - Part II, Mushoku Tensei: Isekai Ittara Honki Dasu - Part II,TV   ,12,Studio Bind,Fall ,"Action, Adventure, Drama, Fantasy, Romance, Demons, Isekai, Magic, NEET, Person in a Strange World, Reincarnation, Based on a Light Novel, Mature Themes,, Violence",4.45
34,Gintama.: Shirogane no Tamashii-hen 2, Gintama: Silver Soul Arc 2,TV   ,14,BN Pictures,Summer,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga",4.44
35,Clannad After Story,,TV   ,24,Kyoto Animation,Fall ,"Drama, Romance, Adult Couples, Coming of Age, Family Life, Illness, Based on a Visual Novel, Drug Use,, Mature Themes",4.44
36,Mo Dao Zu Shi, The Founder of Diabolism,Web  ,15,B.C MAY PICTURES,,"Action, Adventure, Mystery, Ancient China, Chinese Animation, Cultivation, Historical, Rebellions, Supernatural, Swordplay, War, Xianxia, Zombies, Based on a Web Novel, Violence",4.44
37,Gintama': Enchousen,,TV   ,13,Sunrise,Fall ,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Parody, Samurai, Slapstick, Swordplay, Based on a Manga",4.44
38,Banana Fish,,TV   ,24,MAPPA,Summer,"Action, Drama, Shoujo, America, Criminals, Gangs, noitaminA, Based on a Manga, Drug Use,, Mature Themes,, Physical Abuse,, Prostitution,, Sexual Abuse,, Violence",4.44
39,Douluo Dalu 2, Soul Land 2,Web  ,16,Sparkly Key Animation Studio,,"Action, Fantasy, Chinese Animation, Cultivation, Xianxia, Based on a Web Novel, CG Animation",4.44
40,Gintama Kanketsu-hen: Yorozuya yo Eien Nare, Gintama The Movie: The Final Chapter - Be Forever Yorozuya,Movie,,Sunrise,,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Feudal Japan, Samurai, Swordplay, Time Travel, Based on a Manga",4.44
41,Gintama.,,TV   ,12,BN Pictures,Winter,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga",4.44
42,Gintama.: Shirogane no Tamashii-hen, Gintama: Silver Soul Arc,TV   ,12,BN Pictures,Winter,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga",4.44
43,Attack on Titan 3rd Season, Shingeki no Kyojin 3rd Season,TV   ,12,WIT Studio,Summer,"Action, Fantasy, Horror, Dark Fantasy, Isolated Society, Military, Outside World, Political, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence",4.44
44,Steins;Gate,,TV   ,24,WHITE FOX,Spring,"Sci Fi, Conspiracy, LGBT Themes, Psychological, Thriller, Time Travel, Based on a Visual Novel, Mature Themes,, Suicide",4.44
45,Haikyuu!!,,TV   ,25,Production I.G,Spring,"Shounen, Sports, School Club, School Life, Tournaments, Volleyball, Based on a Manga",4.43
46,Gintama',,TV   ,51,Sunrise,Spring,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Breaking the Fourth Wall, Crude, Feudal Japan, Gag, Parody, Samurai, Slapstick, Swordplay, Based on a Manga",4.43
47,One-Punch Man,,TV   ,12,MADHOUSE,Fall ,"Action, Comedy, Sci Fi, Seinen, Cyborgs, Monsters, Overpowered Main Characters, Parody, Satire, Superheroes, Superpowers, Based on a Manga, Explicit Violence",4.43
48,Demon Slayer: Kimetsu no Yaiba - Mugen Train, Kimetsu no Yaiba: Mugen Ressha-hen,TV   ,,ufotable,Fall ,"Action, Drama, Fantasy, Shounen, Demons, Historical, Orphans, Siblings, Swordplay, Trains, Based on a Manga, Mature Themes,, Suicide,, Violence",4.43
49,Gintama°,,TV   ,51,BN Pictures,Spring,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Breaking the Fourth Wall, Crude, Feudal Japan, Gag, Parody, Samurai, Slapstick, Swordplay, Based on a Manga",4.43
50,Howl's Moving Castle, Howl no Ugoku Shiro,Movie,,Studio Ghibli,,"Adventure, Fantasy, Romance, Curse, Family Friendly, Lifestyle Change, Magic, Witches, Based on a Novel",4.43
51,Natsume's Book of Friends Season 6, Natsume Yuujinchou Roku,TV   ,11,Shuka,Spring,"Drama, Fantasy, Shoujo, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.43
52,JoJo's Bizarre Adventure: Golden Wind, JoJo no Kimyou na Bouken: Ougon no Kaze,TV   ,39,David Production,Fall ,"Action, Adventure, Shounen, Europe, Italy, Supernatural, Based on a Manga, Animal Abuse,, Mature Themes",4.43
53,JoJo's Bizarre Adventure: Stone Ocean, Jojo no Kimyou na Bouken: Stone Ocean,Web  ,12,David Production,Fall ,"Action, Adventure, Shounen, America, Prison, Supernatural, Based on a Manga",4.42
54,Vinland Saga,,TV   ,24,WIT Studio,Summer,"Action, Seinen, Death of a Loved One, England, Europe, Historical, Medieval, Revenge, Swordplay, War, Weak to Strong, Based on a Manga, Violence",4.42
55,Natsume's Book of Friends Season 4, Natsume Yuujinchou Shi,TV   ,13,Brain's Base,Winter,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.4
56,Assassination Classroom 2nd Season, Ansatsu Kyoushitsu 2nd Season,TV   ,25,Lerche,Winter,"Action, Comedy, Sci Fi, Shounen, Assassins, Non-Human Protagonists, Overpowered Main Characters, Parody, School Life, Teaching, Based on a Manga",4.4
57,Natsume's Book of Friends Season 5, Natsume Yuujinchou Go,TV   ,11,Shuka,Fall ,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.4
58,My Hero Academia 3, Boku no Hero Academia 3,TV   ,25,Bones,Spring,"Action, Comedy, Drama, Sci Fi, Shounen, Superheroes, Superpowers, Based on a Manga, Violence",4.4
59,Violet Evergarden,,TV   ,13,Kyoto Animation,Winter,"Drama, Lifestyle Change, Melancholy, War, Based on a Light Novel, Violence",4.39
60,That Time I Got Reincarnated as a Slime, Tensei Shitara Slime Datta Ken,TV   ,24,8-Bit,Fall ,"Action, Adventure, Comedy, Fantasy, Shounen, Cheats, Demons, Isekai, Kingdom Building, Magic, Management, Modern Knowledge, Monsters, Non-Human Protagonists, Overpowered Main Characters, Person in a Strange World, Political, Reincarnation, RPG, Slimes, Based on a Manga, Violence",4.39
61,My Hero Academia 2, Boku no Hero Academia 2,TV   ,25,Bones,Spring,"Action, Comedy, Drama, Sci Fi, Shounen, School Life, Superheroes, Superpowers, Tournaments, Weak to Strong, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Violence,, Domestic Abuse",4.39
62,Wolf Children, Ookami Kodomo no Ame to Yuki,Movie,,Studio Chizu,,"Fantasy, Slice of Life, Animal Characteristics, Animal Transformation, Childcare, Coming of Age, Contemporary Fantasy, Countryside, Death of a Loved One, Family Life, Lifestyle Change, Single Parent, Werewolves, Original Work, Nudity",4.39
63,SK8 the Infinity,,TV   ,12,Bones,Winter,"Comedy, Sports, Racing, Original Work, Emotional Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse",4.38
64,Hajime no Ippo: The Fighting!, Fighting Spirit,TV   ,75,MADHOUSE,Fall ,"Action, Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Weak to Strong, Based on a Manga",4.38
65,Code Geass: Lelouch of the Rebellion, Code Geass: Hangyaku no Lelouch,TV   ,25,Sunrise,Fall ,"Mecha, Sci Fi, Conspiracy, Mind Games, Overpowered Main Characters, Political, Psychological, Real Robot, Rebellions, Revenge, Rivalries, Royalty, Secret Identity, Superpowers, Terrorism, Original Work, Nudity,, Violence",4.38
66,JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt, JoJo no Kimyou na Bouken: Stardust Crusaders - Egypt-hen,TV   ,24,David Production,Winter,"Action, Adventure, Comedy, Shounen, Monster-of-the-week, Proxy Battles, Supernatural, Based on a Manga, Animal Abuse,, Explicit Violence,, Mature Themes",4.37
67,Yona of the Dawn: Zeno Arc, Akatsuki no Yona: Zeno Arc,OVA  ,2,Pierrot,,"Action, Adventure, Drama, Fantasy, Romance, Shoujo, Death of a Loved One, Orphans, Political, Royalty, Based on a Manga, Violence",4.37
68,JoJo's Bizarre Adventure: Diamond is Unbreakable, JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV   ,39,David Production,Spring,"Action, Mystery, Shounen, Proxy Battles, Supernatural, Based on a Manga, Animal Abuse,, Mature Themes,, Violence",4.37
69,Kamisama Kiss: Kako-hen, Kamisama Hajimemashita: Kako-hen,OVA  ,4,TMS Entertainment,,"Comedy, Romance, Shoujo, Animal Characteristics, Interspecies Relationship, Japanese Mythology, Master-Servant Relationship, Non-Human Protagonists, Based on a Manga",4.37
70,Hajime no Ippo: New Challenger, Fighting Spirit: New Challenger,TV   ,26,MADHOUSE,Winter,"Action, Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Tournaments, Based on a Manga",4.37
71,Mushishi Zoku Shou 2nd Season, Mushishi -Next Passage- 2nd Season,TV   ,10,Artland,Fall ,"Fantasy, Seinen, Episodic, Iyashikei, Supernatural, Based on a Manga",4.37
72,Attack on Titan, Shingeki no Kyojin,TV   ,25,WIT Studio,Spring,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Death of a Loved One, Isolated Society, Military, Outside World, Overpowered Main Characters, Post-apocalyptic, Revenge, Based on a Manga, Cannibalism,, Explicit Violence,, Mature Themes,, Suicide",4.37
73,Haikyuu!! Tokushuu! Harukou Volley ni Kaketa Seishun,,OVA  ,1,Production I.G,,"Shounen, Sports, Recap, Volleyball, Based on a Manga",4.37
74,Kaguya-sama: Love Is War?, Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV   ,12,A-1 Pictures,Spring,"Comedy, Drama, Romance, Seinen, Episodic, Love Confession, Mind Games, School Life, Student Council, Based on a Manga",4.37
75,Gintama: Porori-hen, Gintama: Slip Arc,TV   ,13,BN Pictures,Fall ,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga",4.36
76,March Comes in like a Lion 2nd Season, 3-gatsu no Lion 2nd Season,TV   ,22,SHAFT,Fall ,"Drama, Seinen, Slice of Life, Board Games, Melancholy, Orphans, Psychological, Based on a Manga, Bullying,, Emotional Abuse",4.36
77,Natsume's Book of Friends Season 3, Natsume Yuujinchou San,TV   ,13,Brain's Base,Summer,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.36
78,Attack on Titan 2nd Season, Shingeki no Kyojin 2nd Season,TV   ,12,WIT Studio,Spring,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Isolated Society, Military, Outside World, Overpowered Main Characters, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence",4.36
79,I Want to Eat Your Pancreas, Kimi no Suizou wo Tabetai,Movie,,Studio VOLN,,"Drama, Romance, Seinen, Coming of Age, Illness, Opposites Attract, School Life, Based on a Novel",4.36
80,Rascal Does Not Dream of a Dreaming Girl, Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,,CloverWorks,,"Drama, Romance, Illness, Senpai-Kouhai Relationship, Supernatural, Time Travel, Based on a Light Novel",4.36
81,Given Movie,,Movie,,Lerche,,"BL, Drama, Romance, Shounen-ai, Adult Couples, Codependency, Love Triangle, Mature Romance, Music, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Sexual Abuse,, Sexual Content",4.36
82,Mushishi Zoku Shou, Mushishi -Next Passage-,TV   ,10,Artland,Spring,"Fantasy, Seinen, Episodic, Iyashikei, Supernatural, Based on a Manga",4.36
83,Princess Mononoke, Mononoke Hime,Movie,,Studio Ghibli,,"Action, Adventure, Fantasy, Curse, Environmental, Feudal Japan, Forest, Japanese Mythology, Royalty, Original Work",4.36
84,Kuroko's Basketball 3, Kuroko no Basket 3,TV   ,25,Production I.G,Winter,"Shounen, Sports, Basketball, School Club, Tournaments, Based on a Manga",4.36
85,BTS: We are Bulletproof - the Eternal,,Music,,Studio Pivote,,"Chibi, Korean Animation",4.36
86,Haikyuu!! Movie 4: Battle of Concepts, Haikyuu!! Movie 4: Concept no Tatakai,Movie,,Production I.G,,"Shounen, Sports, Recap, School Club, Tournaments, Volleyball, Based on a Manga",4.36
87,Dr. Stone,,TV   ,24,8 Pan,Summer,"Adventure, Comedy, Sci Fi, Shounen, Person in a Strange World, Post-apocalyptic, Prehistoric, Survival, Based on a Manga",4.36
88,Attack on Titan: No Regrets, Shingeki no Kyojin: Kuinaki Sentaku,OVA  ,2,WIT Studio,,"Action, Fantasy, Shoujo, Dark Fantasy, Isolated Society, Military, Outside World, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence",4.36
89,Horimiya,,TV   ,13,CloverWorks,Winter,"Comedy, Romance, Shounen, Romantic Comedy, School Life, Based on a Manga",4.36
90,Cowboy Bebop,,TV   ,26,Sunrise,Spring,"Action, Adventure, Drama, Sci Fi, Bounty Hunters, Episodic, Noir, Outer Space, Western, Original Work, Drug Use,, Mature Themes,, Nudity,, Violence",4.36
91,Hotarubi no Mori e, To the Forest of Firefly Lights,Movie,,Brain's Base,,"Drama, Romance, Shoujo, Coming of Age, Forest, Japanese Mythology, Loneliness, Melancholy, Supernatural, Youkai, Based on a Manga",4.36
92,The Disastrous Life of Saiki K. 2nd Season, Saiki Kusuo no Psi Nan 2nd Season,TV   ,24,J.C.Staff,Winter,"Comedy, Shounen, Slice of Life, Breaking the Fourth Wall, Gag, Psychic Powers, School Life, Supernatural, Superpowers, Based on a Manga",4.36
93,Monogatari Series: Second Season,,TV   ,26,SHAFT,Summer,"Action, Comedy, Drama, Ecchi, Mystery, Romance, Supernatural, Tsundere, Based on a Light Novel, Explicit Violence",4.36
94,Castlevania Season 4,,Web  ,10,Tiger Animation,Spring,"Action, Adventure, Drama, Horror, 15th Century, Europe, Historical, Magic, Medieval, Supernatural, Vampires, Based on a Video Game, Animal Abuse,, Explicit Violence,, Mature Themes,, Suicide",4.35
95,Doukyuusei, Doukyuusei -Classmates-,Movie,,A-1 Pictures,,"BL, Drama, Romance, Shounen-ai, All-Boys School, LGBT Themes, Opposites Attract, School Life, Based on a Manga",4.35
96,ERASED, Boku dake ga Inai Machi,TV   ,12,A-1 Pictures,Winter,"Drama, Mystery, Seinen, Age Transformation, Crime, Death of a Loved One, Dysfunctional Families, Melancholy, noitaminA, Serial Killers, Supernatural, Thriller, Time Travel, Based on a Manga, Animal Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse",4.35
97,The Rising of the Shield Hero, Tate no Yuusha no Nariagari,TV   ,25,Kinema Citrus,Winter,"Action, Adventure, Drama, Fantasy, Seinen, Animal Characteristics, Betrayal, Dark Fantasy, Demons, Framed for a Crime, Isekai, Monsters, Person in a Strange World, RPG, Summoned Into Another World, Based on a Light Novel, Violence",4.35
98,To Your Eternity, Fumetsu no Anata e,TV   ,20,Brain's Base,Spring,"Adventure, Drama, Fantasy, Shounen, Animal Transformation, Melancholy, Non-Human Protagonists, Supernatural, Survival, Based on a Manga, Violence",4.35
99,Hajime no Ippo: Rising, Fighting Spirit: Rising,TV   ,25,MADHOUSE,Fall ,"Action, Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Based on a Manga",4.35
100,"Josee, the Tiger and the Fish", Josee to Tora to Sakana-tachi,Movie,,Bones,,"Drama, Romance, Disability, Based on a Novel",4.35
101,Made in Abyss,,TV   ,13,Kinema Citrus,Summer,"Adventure, Drama, Fantasy, Mystery, Sci Fi, Seinen, Androids, Curse, Dark Fantasy, Melancholy, Non-Human Protagonists, Orphans, Outside World, Psychological, Robots, Based on a Manga, Explicit Violence",4.35
102,Rurouni Kenshin: Tsuiokuhen, Rurouni Kenshin: Trust & Betrayal,OVA  ,4,Studio DEEN,,"Drama, Romance, 19th Century, Feudal Japan, Historical, Melancholy, Samurai, Star-Crossed Lovers, Swordplay, Based on a Manga, Violence",4.35
103,Descending Stories: Shouwa Genroku Rakugo Shinjuu, Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV   ,12,Studio DEEN,Winter,"Drama, Josei, Adult Couples, Animeism, Apprenticeship, Historical, Rakugo, Based on a Manga",4.35
104,Haikyuu!! Movie 3: Talent and Sense, Haikyuu!! Movie 3: Sainou to Sense,Movie,,Production I.G,,"Shounen, Sports, Recap, School Club, School Life, Tournaments, Volleyball, Based on a Manga",4.35
105,Mo Dao Zu Shi Q, The Founder of Diabolism Q,Web  ,30,B.C MAY PICTURES,,"Comedy, Ancient China, Chibi, Chinese Animation, Episodic, Historical, Short Episodes",4.34
106,Natsume's Book of Friends Season 2, Zoku Natsume Yuujinchou,TV   ,13,Brain's Base,Winter,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.34
107,Made in Abyss Movie: Dawn of the Deep Soul, Made in Abyss Movie: Fukaki Tamashii no Reimei,Movie,,Kinema Citrus,,"Adventure, Fantasy, Horror, Mystery, Sci Fi, Seinen, Curse, Dark Fantasy, Human Experimentation, Non-Human Protagonists, Orphans, Outside World, Robots, Based on a Manga, Explicit Violence,, Nudity",4.34
108,Fruits Basket 1st Season,,TV   ,25,TMS Entertainment,Spring,"Comedy, Drama, Fantasy, Romance, Shoujo, Animal Transformation, Contemporary Fantasy, Curse, Death of a Loved One, Dysfunctional Families, Love Triangle, Orphans, Slapstick, Based on a Manga, Bullying,, Emotional Abuse,, Mature Themes,, Physical Abuse",4.34
109,Kizumonogatari Part 3: Reiketsu, Kizumonogatari Part 3: Reiketsu-hen,Movie,,SHAFT,,"Action, Drama, Ecchi, Psychological, Supernatural, Vampires, Based on a Light Novel, Explicit Violence,, Nudity",4.34
110,Dr. Stone: Stone Wars,,TV   ,11,8 Pan,Winter,"Adventure, Comedy, Sci Fi, Shounen, Person in a Strange World, Post-apocalyptic, Prehistoric, Survival, Based on a Manga",4.34
111,My Hero Academia 4, Boku no Hero Academia 4,TV   ,25,Bones,Fall ,"Action, Drama, Sci Fi, Shounen, Superheroes, Superpowers, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Violence",4.34
112,Owarimonogatari II,,TV Sp,,SHAFT,,"Drama, Mystery, Romance, Supernatural, Based on a Light Novel, Violence",4.34
113,Great Teacher Onizuka,,TV   ,43,Pierrot,Summer,"Comedy, Drama, Shounen, Delinquents, School Life, Slapstick, Teaching, Work Life, Based on a Manga, Bullying,, Emotional Abuse",4.33
114,Your lie in April, Shigatsu wa Kimi no Uso,TV   ,22,A-1 Pictures,Fall ,"Drama, Romance, Shounen, Classical Music, Illness, Melancholy, Mental Illness, Music, noitaminA, Psychological, School Life, Tournaments, Unrequited Love, Based on a Manga, Mature Themes,, Physical Abuse,, Domestic Abuse",4.33
115,Bungo Stray Dogs 3rd Season,,TV   ,12,Bones,Spring,"Action, Mystery, Seinen, Supernatural, Superpowers, Based on a Manga, Mature Themes,, Suicide,, Violence",4.33
116,Kamisama Kiss 2nd Season, Kamisama Hajimemashita◎,TV   ,12,TMS Entertainment,Winter,"Comedy, Fantasy, Romance, Shoujo, Animal Characteristics, Interspecies Relationship, Japanese Mythology, Master-Servant Relationship, Non-Human Protagonists, Based on a Manga",4.33
117,Violet Evergarden: Eternity and the Auto Memory Doll, Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie,,Kyoto Animation,,"Drama, Melancholy, Based on a Light Novel",4.33
