Rank,Name,Japanese_name,Type,Episodes,Studio,Release_season,Genres,Score
13168,Teekyuu 6 Specials,,DVD S,,Millepensee,,"Comedy, Shounen, Gag, School Club, School Life, Based on a Manga",2.97
13169,A Good Librarian Like a Good Shepherd Picture Drama, Daitoshokan no Hitsujikai Picture Drama,DVD S,,Felix Film,,"Comedy, Library, Picture Drama, Based on an Eroge, Based on a Visual Novel",2.97
13170,"HoneyWorks: Yoshida, Iede Surutte yo",,Music,,,,Vocaloid,2.97
13171,Umi Monogatari: Marin no Kore Naani?,,DVD S,,Zexcs,,"Comedy, Mermaids, Based on a Video Game",2.97
13172,Space Dandy Picture Drama,,DVD S,,Bones,,Picture Drama,2.97
13173,Scan2Go,,TV   ,52,Synergy SP,,"Sports, Cars, Racing, Tournaments",2.97
13174,Kaisoku Tokyo: Copy,,Music,,,,,2.97
13175,Choco Kyouju no Oheya,,Other,,Liberty Animation Studio,,"Commercials, Educational, Food and Beverage, Promotional",2.97
13176,Fireball Humorous,,TV   ,,Jinni's,Fall ,"Comedy, Sci Fi, Androids, Non-Human Protagonists, Robots, Short Episodes, CG Animation, Original Work",2.97
13177,Play Jazz,,Movie,,,,"Abstract, Shorts",2.97
13178,Iczer Reborn,"Alt titles: Bouken! Iczer 3, Iczer 3",OVA  ,6,AIC,,"Action, Sci Fi, Aliens, Violence",2.97
13179,KADO: The Right Answer - Ekwari, Seikaisuru Kado: Ekwari,TV Sp,,Toei Animation,,"Drama, Sci Fi, Political, Recap, CG Animation, Original Work",2.97
13180,Chou Akuukan Bouheki Cheese Napolitan,,Web  ,1,,,"Action, Sci Fi, CG Animation",2.97
13181,Petit Gargantia, Puchitto Gargantia,Web  ,13,Studio Puyukai,Spring,"Comedy, Sci Fi, Chibi, Short Episodes",2.97
13182,Earthian,,OVA  ,4,J.C.Staff,,"BL, Fantasy, Shounen-ai, Angels, Non-Human Protagonists, Based on a Manga",2.97
13183,Explorer Woman Ray,,OVA  ,2,AIC,,"Action, Adventure, Mystery, Seinen, Based on a Manga",2.97
13184,Original Eigakan Manner Eizou,,Movie,,,,"Comedy, Shorts",2.97
13185,Hipira: The Little Vampire,,TV   ,10,Sunrise,,"Adventure, Fantasy, Shounen, Family Friendly, Short Episodes, Vampires, Based on a Manga",2.97
